time (s)	magX	magY	magZ
2848.304325	15.078900	-488.427826	-471.244904
2848.307658	14.728229	-487.200439	-467.971954
2848.310992	14.377557	-485.973114	-462.653412
2848.314322	13.968439	-485.797791	-458.211578
2848.317657	13.851549	-484.511993	-454.120392
2848.321021	13.500876	-483.810608	-450.379883
2848.325173	13.208650	-482.174164	-442.782013
2848.328523	12.624197	-481.297485	-438.632385
2848.331858	12.565751	-479.836365	-435.184082
2848.335288	11.864407	-478.959656	-431.911194
2848.338596	12.331969	-478.316772	-429.573334
2848.341429	11.630626	-476.621857	-426.651093
2848.344747	11.279953	-475.745209	-422.735260
2848.348088	11.396844	-474.342499	-420.163635
2848.351407	11.338399	-474.225616	-416.598450
2848.354322	11.279953	-473.874939	-414.552887
2848.357654	11.338399	-473.582703	-411.455292
2848.360986	11.104617	-472.180023	-408.416138
2848.364314	10.870836	-471.244904	-406.604340
2848.367651	10.578609	-470.660461	-404.500305
2848.370981	10.052601	-470.192871	-400.467590
2848.374312	10.052601	-469.491516	-398.831085
2848.377672	9.468147	-468.614868	-396.960815
2848.380980	10.403274	-467.445953	-394.038574
2848.384309	9.935710	-466.686157	-392.577423
2848.387651	10.111046	-466.686157	-391.291656
2848.390981	9.351256	-466.686157	-388.836945
2848.394304	9.877264	-465.867889	-387.317352
2848.397641	9.585038	-465.867889	-385.739319
2848.401001	9.234365	-464.056122	-384.745758
2848.404307	9.585038	-464.932770	-382.700195
2848.407647	9.935710	-464.231445	-381.706604
2848.410979	9.234365	-464.056122	-380.420807
2848.414306	9.468147	-463.179443	-379.485687
2848.417643	9.059030	-463.120972	-377.615417
2848.420977	9.701928	-462.887207	-376.914093
2848.424311	9.468147	-462.419647	-376.504974
2848.427642	9.643483	-463.062531	-375.978973
2848.432342	9.468147	-461.952057	-374.108734
2848.435209	9.585038	-462.244324	-374.225586
2848.438563	9.468147	-462.244324	-374.634705
2848.441904	9.760374	-462.828735	-373.991821
2848.444811	9.409702	-462.419647	-374.108734
2848.448065	9.234365	-461.835205	-372.881378
2848.451433	9.117476	-462.185852	-373.933350
2848.454735	9.468147	-462.244324	-373.758026
2848.458067	9.935710	-462.302734	-375.102295
2848.460967	10.169491	-462.711853	-374.751617
2848.464307	9.585038	-463.062531	-375.745178
2848.467636	9.585038	-463.413177	-375.628296
2848.470966	9.526592	-463.413177	-377.440094
2848.474307	9.701928	-463.880768	-378.433655
2848.477632	9.585038	-463.997650	-379.135010
2848.480969	10.286383	-464.056122	-380.420807
2848.484303	10.169491	-464.640564	-381.531250
2848.487639	10.111046	-464.991241	-382.349518
2848.490972	10.520164	-464.582123	-383.343079
2848.494313	10.695500	-465.458771	-384.336639
2848.497682	10.695500	-466.218567	-386.732910
2848.500971	10.637054	-466.452362	-387.960266
2848.504298	10.812390	-467.270599	-389.888947
2848.507637	11.104617	-467.036804	-391.466980
2848.510970	11.279953	-467.621277	-392.518982
2848.514300	11.455289	-467.855072	-393.921692
2848.517630	11.922852	-467.855072	-396.084167
2848.520965	11.922852	-469.374664	-398.538879
2848.524303	12.331969	-468.848602	-400.526001
2848.527637	12.741087	-470.485107	-402.805389
2848.530967	13.325541	-471.537109	-405.376953
2848.534295	12.799533	-472.180023	-408.416138
2848.538524	12.857978	-472.472229	-413.091766
2848.541845	13.559322	-473.816498	-415.429596
2848.545244	13.559322	-474.459351	-418.351837
2848.548576	14.494448	-475.102295	-421.040344
2848.551444	14.611338	-475.569824	-424.839264
2848.554715	15.020455	-477.206329	-428.462891
2848.558043	15.254237	-480.420837	-431.911194
2848.561391	15.020455	-480.011688	-435.359436
2848.564718	15.312682	-480.245453	-438.573944
2848.567628	15.955583	-481.589691	-441.963776
2848.570961	16.540035	-482.700165	-446.580933
2848.574319	16.423145	-483.109283	-450.438354
2848.577626	16.773817	-484.628876	-454.237274
2848.580966	16.715372	-485.330200	-458.445374
2848.584289	17.942724	-486.557587	-463.354767
2848.587632	17.533606	-486.674438	-468.381073
2848.590956	17.708942	-488.018707	-472.472229
2848.594293	18.585623	-489.070709	-477.966125
2848.597622	18.351841	-490.414948	-483.693756
2848.600959	18.644068	-491.350067	-488.603149
2848.604344	19.345411	-492.518982	-493.278778
2848.607620	19.812975	-492.694336	-498.421967
2848.610955	19.988310	-493.921661	-503.389832
2848.614296	20.455875	-495.032166	-510.169495
2848.617657	20.397429	-495.733490	-515.371155
2848.620953	21.683226	-497.720612	-521.274109
2848.624301	21.040327	-498.129761	-527.586243
2848.627623	22.559906	-499.532410	-532.437195
2848.630956	22.618351	-500.350677	-538.457031
2848.634283	22.969025	-500.058472	-545.119812
2848.637621	23.319696	-501.461121	-551.490356
2848.640956	24.196377	-501.402710	-557.919373
2848.645637	24.488602	-502.922241	-570.894165
2848.648555	25.774401	-502.746918	-576.563416
2848.651873	25.365284	-504.967834	-583.226196
2848.655248	26.592636	-505.786072	-591.700745
2848.658473	26.300409	-507.071869	-599.064880
2848.661379	27.469316	-506.721222	-606.721191
2848.664706	27.761543	-507.597870	-613.208618
2848.668062	28.287550	-508.532990	-620.222107
2848.671380	29.281122	-507.948578	-628.755066
2848.674283	29.105785	-508.006989	-635.768555
2848.677612	29.748684	-509.643494	-644.418457
2848.680946	30.566919	-508.532990	-651.957947
2848.684278	30.625364	-509.000580	-660.023376
2848.687618	32.086502	-508.649933	-669.316223
2848.690946	32.554062	-509.585052	-676.738770
2848.694285	32.670956	-510.169495	-686.031555
2848.697613	33.606079	-509.760376	-695.791931
2848.700955	34.307423	-509.526581	-703.798950
2848.704311	34.365868	-509.059052	-712.857971
2848.707613	35.943893	-509.234375	-721.566345
2848.710951	35.827003	-508.299255	-730.917603
2848.714281	36.411457	-507.422546	-740.151978
2848.717609	37.054356	-506.545868	-751.022827
2848.720941	38.047924	-505.844543	-760.140259
2848.724279	38.690823	-505.786072	-768.673279
2848.727615	38.924606	-504.792511	-780.245422
2848.730943	39.742840	-502.630035	-789.304504
2848.734280	39.684395	-501.578033	-800.116943
2848.737608	40.444183	-500.292206	-809.935669
2848.740942	41.028641	-499.006409	-820.163635
2848.744278	41.613094	-497.545288	-831.209839
2848.747642	42.255993	-495.616577	-841.730042
2848.752290	43.658680	-491.467010	-861.309143
2848.755196	44.593803	-489.655151	-871.654053
2848.758471	44.769142	-487.083588	-882.524902
2848.761787	45.645821	-483.693756	-892.402100
2848.765121	46.347164	-481.239044	-903.857422
2848.768477	47.106953	-477.147858	-911.981323
2848.771357	47.749855	-472.881378	-922.969055
2848.774691	48.451199	-471.127991	-933.956726
2848.778062	49.210987	-466.978363	-944.535339
2848.781382	49.620102	-464.406769	-954.529480
2848.784272	50.496788	-459.146698	-962.478088
2848.787635	51.490356	-455.756866	-974.284058
2848.790976	51.373463	-451.315033	-983.284668
2848.794275	52.483929	-446.697845	-993.454102
2848.797612	53.068382	-442.431305	-1002.805420
2848.800937	53.594387	-438.223267	-1013.383972
2848.804267	54.120399	-433.138519	-1023.845703
2848.807603	54.646408	-428.053772	-1033.547607
2848.810933	55.172413	-422.442993	-1043.717041
2848.814275	55.756866	-417.066040	-1052.951538
2848.817605	56.224430	-410.461700	-1060.724731
2848.820939	56.458210	-405.260071	-1070.134399
2848.824275	57.276447	-398.480408	-1080.187012
2848.827604	57.568676	-392.051422	-1088.720093
2848.830932	57.977791	-385.680878	-1097.077759
2848.834270	58.854473	-378.492126	-1106.721191
2848.837603	59.029804	-371.186462	-1114.845093
2848.840940	59.906490	-363.880768	-1122.968994
2848.844262	60.315601	-355.639984	-1129.748779
2848.847601	60.374050	-346.931610	-1137.872559
2848.850925	60.198711	-339.625946	-1146.288696
2848.854270	60.549385	-331.326691	-1154.412598
2848.857610	61.133839	-322.384583	-1160.257202
2848.862221	61.601402	-303.974304	-1173.816528
2848.865126	61.367619	-294.272339	-1179.018066
2848.868439	61.367619	-284.628876	-1185.213257
2848.871817	61.659847	-274.576294	-1192.168335
2848.875130	61.542957	-265.108124	-1196.668579
2848.878097	61.952072	-254.821747	-1201.227417
2848.881378	61.659847	-244.593811	-1204.675659
2848.884717	62.010521	-235.008759	-1209.234375
2848.888026	62.419636	-224.137924	-1213.793091
2848.891353	62.185852	-213.851547	-1217.066040
2848.894261	62.010521	-202.863815	-1219.170044
2848.897597	62.594975	-191.759201	-1222.968994
2848.900933	61.718292	-180.420807	-1225.014648
2848.904263	61.952072	-168.790192	-1225.657471
2848.907588	62.068962	-157.627121	-1228.755127
2848.910930	61.952072	-146.054932	-1229.281128
2848.914262	61.893631	-133.722977	-1230.157715
2848.917590	61.952072	-122.092346	-1231.619019
2848.920952	61.309177	-110.286377	-1231.794312
2848.924258	61.776741	-98.363533	-1233.489258
2848.927593	60.841614	-86.323784	-1232.378784
2848.930928	61.250729	-74.576271	-1231.326660
2848.934260	60.841614	-62.185852	-1228.872070
2848.937588	60.315601	-49.795441	-1227.586182
2848.940920	59.964931	-37.931034	-1225.599121
2848.944257	60.023380	-25.365284	-1224.196289
2848.947604	59.672707	-12.916424	-1221.916992
2848.950922	58.386909	-0.175336	-1218.468750
2848.954257	58.270020	11.805962	-1215.897217
2848.957588	57.685566	24.839275	-1212.215088
2848.960924	57.159554	36.762127	-1206.896606
2848.964281	56.049095	50.029224	-1204.032715
2848.967587	55.639977	62.419636	-1199.941528
2848.972222	54.821743	87.434250	-1190.181152
2848.975145	53.945057	99.298653	-1185.213257
2848.978460	53.711277	111.689064	-1179.193481
2848.981875	52.483929	124.371704	-1173.875000
2848.985228	51.607246	136.352997	-1166.569214
2848.988054	51.256573	148.977203	-1160.432495
2848.991344	50.438339	160.666275	-1153.594360
2848.994681	50.087666	172.180008	-1146.697754
2848.998007	48.801868	184.687317	-1138.749268
2849.000913	48.100525	196.259491	-1132.203369
2849.004249	47.340736	207.422562	-1123.845703
2849.007620	46.171829	218.176514	-1116.014038
2849.010918	45.879601	229.631805	-1107.480957
2849.014244	45.002922	240.210419	-1101.344238
2849.017584	44.476913	251.548798	-1091.759155
2849.020916	43.132671	261.835205	-1083.284668
2849.024248	42.723553	272.413788	-1073.348877
2849.027582	41.846874	282.349518	-1065.283447
2849.030913	40.853302	291.876099	-1056.458130
2849.034246	40.268848	301.578033	-1049.035645
2849.037584	39.918175	310.812408	-1039.859741
2849.040909	38.632378	320.864990	-1030.040894
2849.044260	37.989479	329.398010	-1020.806519
2849.047582	36.995907	337.521912	-1010.870850
2849.050949	36.528347	346.697845	-1002.746948
2849.054247	35.534775	355.055511	-992.694397
2849.057578	34.248978	363.471649	-982.349487
2849.060915	33.489189	371.537109	-974.225586
2849.064242	32.846291	378.725891	-963.822388
2849.067571	32.086502	386.499115	-955.230896
2849.070913	31.735825	394.973694	-945.879639
2849.074241	30.742254	401.052002	-935.768494
2849.077576	29.807129	407.714783	-928.170654
2849.081784	27.995323	420.514282	-907.188782
2849.085106	27.001753	426.709503	-896.493225
2849.088504	26.417299	433.196960	-887.901794
2849.091847	25.248394	438.398590	-877.498535
2849.094777	24.313267	444.652283	-868.497925
2849.097999	23.436586	449.620117	-858.094666
2849.101355	23.085915	455.581512	-848.334290
2849.104673	21.741673	460.315613	-839.041504
2849.107991	20.806547	465.108093	-828.988953
2849.110906	20.280537	469.900665	-820.572754
2849.114242	19.696083	474.926941	-809.175964
2849.117568	18.176504	480.011688	-800.818237
2849.120904	17.884277	483.752197	-790.882568
2849.124236	16.540035	487.843384	-781.005249
2849.127568	16.423145	490.940948	-771.829346
2849.130908	15.429573	495.032166	-762.361206
2849.134236	14.436002	498.714203	-755.230835
2849.137589	12.974869	501.694916	-744.301575
2849.140903	12.741087	504.032715	-735.242554
2849.144237	12.331969	507.831665	-727.118652
2849.147569	11.221508	510.753967	-718.702515
2849.150912	10.403274	512.916443	-709.701904
2849.154243	9.935710	515.429565	-701.168945
2849.157566	9.000585	517.708923	-692.986511
2849.160906	8.065459	519.403809	-684.921143
2849.164233	8.065459	521.624817	-676.621887
2849.167567	7.305669	523.904114	-667.738159
2849.170904	7.130333	525.131531	-660.081787
2849.174233	6.195207	525.949707	-652.250122
2849.177567	5.669199	527.527771	-644.710693
2849.180930	5.143191	529.456482	-637.521912
2849.185584	3.798948	531.443604	-621.390991
2849.188435	3.272940	532.729370	-615.371155
2849.191841	2.454705	532.554077	-608.182312
2849.195166	2.513150	533.138489	-601.227356
2849.198510	2.162478	533.547668	-594.097046
2849.201745	1.578025	535.125610	-586.908264
2849.204671	1.110462	535.067200	-580.888367
2849.207981	0.467563	534.833435	-573.816467
2849.211321	-0.175336	536.411499	-567.445923
2849.214649	-0.701344	536.177673	-560.666260
2849.217560	-1.168907	536.411499	-553.828186
2849.220900	-1.753361	536.119202	-547.749878
2849.224244	-2.337814	536.703674	-541.788452
2849.227567	-3.506721	536.236084	-535.300964
2849.230891	-3.857393	535.885437	-528.638245
2849.234233	-4.441847	536.294556	-522.618347
2849.237562	-4.967855	535.943909	-518.059631
2849.240926	-5.610754	535.008789	-512.215088
2849.244225	-5.610754	534.132080	-506.779663
2849.247565	-6.312099	534.716553	-500.993591
2849.250897	-7.364114	533.956787	-494.681458
2849.254255	-7.247224	534.365845	-489.888947
2849.257563	-7.714787	533.606079	-485.096466
2849.260896	-8.416131	532.495605	-478.842773
2849.264225	-7.890122	532.904724	-474.400940
2849.267565	-8.825249	532.203369	-468.907074
2849.270892	-8.883694	531.268250	-464.523651
2849.274221	-9.818819	531.443604	-460.023346
2849.277555	-9.468147	530.216248	-454.821716
2849.280890	-10.344828	529.281128	-450.087677
2849.284224	-10.520164	528.404419	-446.230255
2849.287562	-10.812390	527.644653	-442.957367
2849.290885	-11.046172	527.352417	-438.047943
2849.295137	-11.689071	525.482178	-429.514893
2849.298509	-11.630626	524.371704	-425.482178
2849.301833	-11.922852	525.073059	-422.501465
2849.305073	-12.156633	524.021057	-418.644043
2849.308421	-12.331969	523.319702	-415.312683
2849.311312	-12.390414	521.975464	-412.156616
2849.314648	-13.091760	521.390991	-408.708344
2849.317981	-13.150205	521.390991	-405.318542
2849.321313	-13.734658	519.812988	-403.331360
2849.324636	-13.091760	519.462280	-399.064880
2849.327576	-14.669784	518.410278	-396.727051
2849.330887	-14.377557	517.182922	-393.980133
2849.334216	-14.085330	516.247803	-390.531860
2849.337549	-14.377557	516.306274	-387.960266
2849.340879	-14.611338	515.137329	-385.271759
2849.344217	-14.786674	514.611328	-382.407959
2849.347554	-15.020455	513.384033	-379.836334
2849.350883	-15.137346	512.507324	-378.550568
2849.354218	-14.903564	512.507324	-376.095856
2849.357555	-15.429573	512.039734	-374.108734
2849.360882	-15.838690	512.098145	-372.413788
2849.364211	-16.189363	510.753967	-369.666870
2849.367547	-16.306253	510.227905	-367.971954
2849.370888	-16.014027	509.701904	-366.393921
2849.374214	-16.072474	508.591461	-364.348328
2849.377546	-16.656927	508.591461	-362.594971
2849.380879	-16.306253	507.773193	-361.426056
2849.384215	-16.481590	507.422546	-358.620697
2849.387545	-17.124489	507.773193	-356.808868
2849.390876	-16.656927	506.838074	-356.049072
2849.394215	-16.773817	505.902954	-354.704865
2849.397541	-17.124489	504.909424	-352.483917
2849.400881	-17.299826	504.792511	-351.256592
2849.405160	-17.358271	504.850952	-349.386322
2849.408513	-17.416716	504.324951	-347.399200
2849.411734	-17.767387	502.688507	-346.522491
2849.415084	-17.825832	502.980713	-346.288727
2849.418394	-17.533606	502.513184	-344.769135
2849.421294	-17.942724	502.513184	-344.769135
2849.424636	-17.358271	501.987122	-343.191132
2849.427971	-17.299826	501.636444	-343.600220
2849.431339	-18.118059	501.811798	-342.372864
2849.434208	-17.942724	501.811798	-342.314423
2849.437543	-17.884277	501.578033	-341.788422
2849.440875	-17.942724	502.279388	-342.723572
2849.444223	-17.533606	500.818237	-342.665100
2849.447543	-18.059614	501.811798	-341.028656
2849.450904	-17.708942	501.519592	-342.489777
2849.454208	-17.884277	501.519592	-341.729980
2849.457548	-17.182934	501.753387	-341.846863
2849.460871	-17.299826	501.519592	-342.197540
2849.464203	-17.592052	501.285797	-343.600220
2849.467533	-17.592052	502.220917	-342.781982
2849.470870	-17.475161	501.870239	-344.067780
2849.474202	-17.650497	501.928711	-344.476929
2849.477539	-17.358271	502.162445	-345.236694
2849.480873	-17.241379	502.571594	-346.054932
2849.484199	-17.358271	503.039185	-346.873169
2849.487536	-16.949154	503.623627	-347.749847
2849.490868	-17.884277	502.746918	-348.334320
2849.494221	-17.066044	502.571594	-349.269440
2849.497534	-17.241379	504.149628	-350.087677
2849.500869	-17.358271	504.324951	-350.672119
2849.504200	-17.182934	504.208099	-353.068390
2849.507537	-16.715372	505.610748	-354.938629
2849.510863	-17.007599	504.850952	-355.406189
2849.515078	-16.890707	506.429016	-357.802460
2849.518396	-17.007599	506.662750	-359.088257
2849.521719	-17.124489	506.487427	-361.776733
2849.525080	-16.481590	507.597870	-363.120972
2849.528397	-16.423145	507.305664	-364.874329
2849.531286	-16.306253	508.708344	-366.686157
2849.534645	-16.540035	508.942139	-367.738190
2849.538006	-15.897136	509.760376	-369.783752
2849.541315	-15.721800	510.578644	-371.770874
2849.544202	-15.955583	510.812378	-373.758026
2849.547529	-15.838690	510.695496	-375.511414
2849.550860	-15.371127	511.572174	-378.784332
2849.554198	-15.429573	512.448853	-380.771484
2849.557534	-15.078900	513.617737	-383.226166
2849.560864	-15.312682	514.436035	-386.265350
2849.564192	-14.962010	514.026855	-388.310944
2849.567554	-14.552893	515.604919	-391.876099
2849.570862	-14.143775	515.487976	-394.623016
2849.574197	-13.909994	516.364746	-398.363525
2849.577524	-13.617767	517.241394	-400.584473
2849.580865	-13.734658	518.176514	-403.682037
2849.584193	-13.267096	519.345398	-406.779663
2849.587521	-12.273524	519.520752	-409.701904
2849.590866	-12.507306	520.689697	-414.202209
2849.594195	-12.039742	520.923401	-417.299835
2849.597550	-11.630626	521.215698	-420.105225
2849.600861	-11.805962	521.858521	-424.956177
2849.604186	-11.630626	522.501465	-428.462891
2849.607546	-10.987726	523.787231	-432.554047
2849.610884	-10.987726	524.254822	-436.469879
2849.614193	-10.753945	525.599060	-440.794861
2849.617522	-10.227938	525.891296	-444.301544
2849.622174	-9.701928	526.417297	-452.951477
2849.625056	-9.468147	527.469299	-457.451782
2849.628398	-8.883694	528.462891	-460.900055
2849.631729	-8.474577	528.988892	-466.335480
2849.634649	-8.649913	529.281128	-470.660461
2849.637962	-8.007013	530.333130	-476.388062
2849.641323	-8.065459	531.209778	-482.057281
2849.644634	-7.656341	531.735840	-486.148437
2849.647950	-7.130333	531.151367	-491.993011
2849.650848	-7.247224	531.852722	-495.967285
2849.654192	-6.428989	532.846313	-502.162445
2849.657523	-6.428989	532.437195	-507.188782
2849.660847	-6.195207	532.787842	-512.507324
2849.664187	-5.201637	534.132080	-519.637634
2849.667521	-5.026300	532.846313	-523.728821
2849.670848	-4.734074	533.781433	-529.982483
2849.674183	-4.266511	533.255371	-535.359436
2849.677520	-3.857393	533.430725	-540.911743
2849.680846	-3.448276	533.606079	-547.866699
2849.684190	-2.396260	533.372314	-554.237244
2849.687509	-2.045588	533.606079	-559.964966
2849.690850	-0.876680	533.547668	-566.452332
2849.694175	-1.285798	533.430725	-572.589111
2849.697512	-0.233781	532.670959	-578.901245
2849.700851	0.935126	532.378723	-586.674438
2849.704179	1.110462	532.086487	-593.044983
2849.707517	1.987142	530.508484	-601.461121
2849.710848	2.746932	530.391602	-608.240784
2849.714176	3.682057	529.748657	-615.312683
2849.717516	4.266511	529.281128	-622.209229
2849.720880	4.617183	527.469299	-629.982483
2849.724175	5.260082	526.709534	-638.632385
2849.728805	6.779661	523.611938	-652.074829
2849.731740	7.071887	523.436584	-660.666260
2849.735056	8.182350	521.916992	-669.199280
2849.738435	8.474577	519.462280	-677.264709
2849.741781	8.942139	518.468689	-684.278198
2849.744671	9.468147	515.254272	-692.928101
2849.747931	9.994155	512.857971	-701.402710
2849.751270	10.286383	511.104645	-709.935730
2849.754599	11.221508	509.175934	-718.118042
2849.757507	12.215078	506.487427	-725.657532
2849.760840	12.448860	503.272949	-733.547668
2849.764210	13.500876	501.519592	-742.840454
2849.767503	14.085330	498.363556	-751.022827
2849.770844	14.319112	495.499695	-761.075378
2849.774168	15.312682	492.226807	-769.608398
2849.777511	15.838690	488.369385	-779.661011
2849.780842	16.598480	484.453522	-787.317383
2849.784174	16.773817	481.940369	-796.376343
2849.787504	18.760958	476.563416	-805.902954
2849.790839	19.520748	472.180023	-814.026917
2849.794173	20.280537	468.790192	-823.319702
2849.797507	20.572765	463.237854	-833.196899
2849.800838	21.391001	459.322021	-841.905334
2849.804182	22.267679	455.406189	-852.367004
2849.807523	22.910578	449.561646	-860.257141
2849.810839	23.787258	444.535339	-869.608398
2849.814169	24.722383	438.398590	-878.667480
2849.817502	25.423729	434.248962	-888.661560
2849.820832	25.774401	427.878418	-897.779053
2849.824165	27.118645	420.865021	-907.773193
2849.827501	27.936878	414.845123	-918.059631
2849.830836	29.398012	409.059052	-926.534180
2849.835461	30.917591	395.207489	-945.587341
2849.838380	31.969610	387.726471	-954.295715
2849.841814	33.021626	381.297485	-963.763916
2849.845112	34.365868	372.589142	-973.816467
2849.848438	35.184105	365.283478	-982.524902
2849.851301	35.885448	357.334900	-991.992920
2849.854592	36.703682	349.386322	-1001.168945
2849.857927	37.405025	341.028656	-1009.935669
2849.861259	38.690823	332.028046	-1020.105164
2849.864164	39.450611	323.378143	-1028.813599
2849.867493	40.444183	315.078888	-1037.755737
2849.870831	40.911751	305.669189	-1047.808228
2849.874158	42.431328	295.850372	-1055.464600
2849.877492	42.723553	286.090027	-1063.646973
2849.880825	43.541790	276.388062	-1072.881348
2849.884167	44.126244	266.803040	-1081.239014
2849.887496	45.061367	256.458221	-1089.655151
2849.890829	45.645821	247.632950	-1096.960815
2849.894161	46.230274	237.054352	-1104.909424
2849.897491	47.399181	226.066635	-1113.091797
2849.900882	48.568089	216.072464	-1120.923462
2849.904159	48.977203	205.844543	-1127.177002
2849.907490	49.327877	194.915253	-1134.307373
2849.910831	49.853886	184.453537	-1142.255981
2849.914159	50.847458	172.939804	-1147.808228
2849.917494	51.607246	162.127411	-1155.406250
2849.920826	52.425480	151.139694	-1161.133911
2849.924192	53.419052	139.567505	-1168.088867
2849.927494	52.951492	128.638214	-1172.881348
2849.930822	54.471069	116.832260	-1177.732300
2849.934161	54.763298	105.084740	-1184.336670
2849.937496	55.756866	93.863235	-1189.362915
2849.942167	57.042664	70.368210	-1199.298706
2849.945084	58.445351	58.562244	-1203.506714
2849.948424	58.445351	46.580948	-1206.487427
2849.951740	59.088253	34.658096	-1210.695435
2849.955002	59.964931	23.261251	-1213.150269
